generation,cell,birth,white (end),green (end),round (start),cell division,cell death,cell lost,überlebt,TRAIL,video end,,
0,1,28,58,,103,105,,,1,72,180,V28.8c,6
1,1.1,105,,,,,,,1,72,180,,
1,1.2,105,175,,,,,,1,72,180,,
0,2,26,53,,91,93,,,1,72,180,,
1,2.1,93,133,,176,,,,1,72,180,,
1,2.2,93,136,,180,,,,1,72,180,,
0,3,7,35,,79,81,,,0.5,72,180,,5
1,3.1,81,113,,,,139,,,72,180,,
1,3.2,81,118,,160,164,,,1,72,180,,
2,3.21,164,,,,,,,1,72,180,,
2,3.22,164,,,,,,,1,72,180,,
0,40,42,70,,113,115,,,1,72,180,,
1,40.1,115,,,,,,,1,72,180,,
1,40.2,115,,,,,,,1,72,180,,
0,4,29,60,,104,107,,,,72,180,,
1,4.1,107,,,,,116,,,72,180,,
1,4.2,107,,,,,116,,,72,180,,
0,5,14,44,,87,89,,,0.5,72,180,,
1,5.1,89,,,,,156,,,72,180,,
1,5.2,89,,,,,,,1,72,180,,
0,6,15,47,,91,93,,,,72,180,,
1,6.1,93,,,,,115,,,72,180,,
1,6.2,93,,,,,115,,,72,180,,
0,7,29,70,,114,116,,,1,72,180,,3
1,7.1,116,149,,,,,,1,72,180,,
1,7.2,116,155,,,,,,1,72,180,,
0,8,2,44,,97,100,,,0.5,72,180,,
1,8.1,100,,,,,104,,,72,180,,
1,8.2,100,144,,,,,,1,72,180,,
0,9,24,61,,103,105,,,0.5,72,180,,2
1,9.1,105,153,,,,,,1,72,180,,
1,9.2,105,,,,,107,,,72,180,,
0,10,7,32,,80,83,,,1,72,180,,
1,10.1,83,106,,153,157,,,1,72,180,,
1,10.2,83,104,,163,169,,,1,72,180,,
0,11,17,37,,89,92,,,1,72,180,,
1,11.2,92,122,,170,174,,,1,72,180,,
1,11.2,92,125,,175,,,,1,72,180,,
0,12,26,52,,,,86,,,72,180,,
0,13,15,35,,87,89,,,,72,180,,
1,13.1,89,,,,,101,,,72,180,,
1,13.2,89,,,,,101,,,72,180,,
0,14,8,33,,96,98,,,0.5,72,180,,1
1,14.1,98,,,,,122,,,72,180,,
1,14.2,98,160,,,,,,1,72,180,,
0,15,22,48,,81,84,,,1,72,180,,
1,15.1,84,132,,,,,,1,72,180,,
1,15.2,84,160,,,,,,1,72,180,,
0,16,7,42,,,,87,,,72,180,,
0,17,10,37,,74,77,,,,72,180,,
1,17.1,77,,,,,85,,,72,180,,
1,17.2,77,,,,,85,,,72,180,,
0,18,19,50,,90,92,,,,72,180,,
1,18.1,92,,,,,95,,,72,180,,
1,18.2,92,,,,,95,,,72,180,,
0,19,36,65,,97,100,,,0.5,72,180,,4
1,19.1,100,,,,,110,,,72,180,,
1,19.2,100,,,,,,,1,72,180,,
0,20,26,49,,88,90,,,0.5,72,180,,5
1,20.1,90,,,,,100,,,72,180,,
1,20.2,90,134,,177,,,,1,72,180,,
0,21,1,25,,75,78,,,1,72,180,,
1,21.1,78,140,,,,,,1,72,180,,
1,21.2,78,137,,,,,,1,72,180,,
0,22,29,52,,,,86,,,72,180,,6
0,23,48,70,,121,126,,,1,72,180,,
1,23.1,126,,,,,,,1,72,180,,
1,23.2,126,,,,,,,1,72,180,,
0,82,53,85,,128,130,,,1,94,192,V28.8d,7
1,82.1,130,165,,,,,,1,94,192,,
1,82.2,130,168,,,,,,1,94,192,,
0,83,34,60,,98,100,,,1,94,192,,
1,83.1,100,130,,,,,,1,94,192,,
1,83.2,100,140,,,,,,1,94,192,,
0,84,58,82,,138,141,,,1,94,192,,
1,84.1,141,,,,,,,1,94,192,,
1,84.2,141,,,,,,,1,94,192,,
0,85,39,65,,,,106,,,94,192,,
0,86,39,68,,,,113,,,94,192,,
0,87,57,85,,130,134,,,,94,192,,
1,87.1,134,,,,,148,,,94,192,,
1,87.2,134,,,,,166,,,94,192,,
0,88,39,60,,,,103,,,94,192,,
0,89,43,69,,105,108,,,,94,192,,
1,89.1,108,,,,,110,,,94,192,,
1,89.2,108,,,,,110,,,94,192,,
0,90,46,70,,107,109,,,,94,192,,
1,90.1,109,,,,,120,,,94,192,,
1,90.2,109,,,,,127,,,94,192,,
0,91,67,91,,142,145,,,,94,192,,
1,91.1,145,,,,,163,,,94,192,,
1,91.2,145,,,,,168,,,94,192,,
0,92,73,93,,130,133,,,1,94,192,,
1,92.1,133,159,,,,,,1,94,192,,
1,92.2,133,165,,,,,,1,94,192,,
0,93,35,75,,130,162,,,0.5,94,192,,8
1,93.1,162,,,,,191,,,94,192,,
1,93.2,162,,,,,,,1,94,192,,
0,94,33,72,,127,131,,,,94,192,,
1,94.1,131,,,,,145,,,94,192,,
1,94.2,131,,,,,141,,,94,192,,
0,95,42,68,,108,111,,,,94,192,,
1,95.1,111,,,,,137,,,94,192,,
1,95.2,111,170,,,,174,,,94,192,,
0,96,17,45,,93,106,,,,94,192,,
1,96.1,106,,,,,107,,,94,192,,
1,96.2,106,,,,,107,,,94,192,,
0,97,36,72,,,,110,,,94,192,,
0,98,48,74,,114,117,,,0.5,94,192,,
1,98.1,117,,,,,120,,,94,192,,
1,98.2,117,150,,,,,,1,94,192,,
0,99,24,70,,100,103,,,0.5,94,192,,9
1,99.1,103,,,,,128,,,94,192,,
1,99.2,103,135,,180,182,,,1,94,192,,
2,99.21,182,,,,,,,1,94,192,,
2,99.22,182,,,,,,,1,94,192,,
0,59,55,83,136,136,136,,,1,94,192,,9
1,59.1,136,,,,,,,1,94,192,,
1,59.2,136,,,,,,,1,94,192,,
0,60,55,81,,,,105,,,94,192,,
0,61,55,88,,,,106,,,94,192,,
0,100,55,83,,120,123,,,1,94,192,,
1,100.1,123,160,,,,,,1,94,192,,
1,100.2,123,160,,,,,,1,94,192,,
0,101,50,85,,,,127,,,94,192,,
0,102,61,91,,149,152,,,0.5,94,192,,
1,102.1,152,,,,,190,,,94,192,,
1,102.2,152,,,,,,,1,94,192,,
0,103,67,85,,122,124,,,0.5,94,192,,
1,103.1,124,,,,,151,,,94,192,,
1,103.2,124,159,,,,,,1,94,192,,
0,104,34,58,,,,115,,,94,192,,
0,105,29,61,,106,108,,,,94,192,,10
1,105.1,108,,,,,110,,,94,192,,
1,105.2,108,,,,,111,,,94,192,,
0,106,27,53,,104,107,,,0.5,94,192,,
1,106.1,107,,,,,108,,,94,192,,
1,106.2,107,,,,,,,1,94,192,,
0,107,29,55,,101,104,,,1,94,192,,
1,107.1,104,140,,,,,,1,94,192,,
1,107.2,104,141,,,,,,1,94,192,,
0,108,21,54,,106,109,,,5,94,192,,11
1,108.1,109,,,,,,,1,94,192,,
1,108.2,109,,,,,,110,5,94,192,,
0,109,45,84,,135,,,,1,94,192,,
0,110,46,73,,103,105,,,5,94,192,,
1,110.1,105,,,,,,152,5,94,192,,
1,110.2,105,,,,,,152,5,94,192,,
0,111,57,75,,115,122,,,,94,192,,
1,111.1,122,,,,,131,,,94,192,,
1,111.2,122,,,,,131,,,94,192,,
0,112,47,78,,121,125,,,,94,192,,12
1,112.1,125,,,,,158,,,94,192,,
1,112.2,125,,,,,158,,,94,192,,
0,113,26,61,,89,92,,,1,94,192,,
1,113.1,92,,,,,,,1,94,192,,
1,113.2,92,,,,,,,1,94,192,,
0,114,70,91,,153,156,,,1,94,192,,
1,114.1,156,,,,,,,1,94,192,,
1,114.2,156,,,,,,,1,94,192,,
0,115,5,50,,115,,121,,,94,192,,
0,116,66,107,,,,108,,,94,192,,
0,117,5,62,,,,120,,,94,192,,
0,128,33,61,99,99,99,,,,74,193,28.8m,11
1,128.1,99,,,,,119,,,74,193,,
1,128.2,99,125,,,,126,,,74,193,,
0,129,33,59,98,98,98,,,0.5,74,193,,
1,129.1,98,121,,,,,,1,74,193,,
1,129.2,98,122,172,172,172,,,1,74,193,,
2,129.21,172,,,,,174,,1,74,193,,
2,129.22,172,,,,,174,,1,74,193,,
2,129.11,179,,,,,,,1,74,193,,
2,129.12,179,,,,,,,1,74,193,,
0,130,34,58,108,108,108,,,,74,193,,
1,130.1,108,,,,,115,,,74,193,,
1,130.2,108,,,,,131,,,74,193,,
0,131,10,30,90,90,90,,,0.5,74,193,,
1,131.1,90,,,,,98,,,74,193,,
1,131.2,90,141,,,,178,,1,74,193,,
0,132,,4,,,,110,,,74,193,,
0,133,,43,121,121,121,,,0.5,74,193,,
1,133.1,121,,,,,167,,,74,193,,
1,133.2,121,,,,,,,1,74,193,,
0,134,9,34,84,84,84,,,1,74,193,,
1,134.1,84,105,,,,,,1,74,193,,
1,134.2,84,110,162,162,162,,,1,74,193,,
2,134.21,162,,,,,,,1,74,193,,
2,134.22,162,,,,,,,1,74,193,,
2,134.11,176,,,,,179,,1,74,193,,
2,134.12,176,,,,,180,,1,74,193,,
0,135,17,47,92,92,92,,,,74,193,,
1,135.1,92,,,,,93,,,74,193,,
1,135.2,92,,,,,93,,,74,193,,
0,136,,65,,,,93,,,74,193,,
0,137,,42,110,110,110,,,1,74,193,,
1,137.1,110,164,,,,,,1,74,193,,
1,137.2,110,174,,,,,,1,74,193,,
0,138,15,35,82,82,82,,,,74,193,,
1,138.1,82,,,,,97,,,74,193,,
1,138.2,82,,,,,98,,,74,193,,
0,139,34,61,105,105,105,,,,74,193,,
1,139.1,105,,,,,115,,,74,193,,
1,139.2,105,,,,,115,,,74,193,,
0,140,10,33,75,75,75,,,0.5,74,193,,
1,140.1,75,107,,,,159,,,74,193,,
1,140.2,75,109,,,,178,,1,74,193,,
0,141,23,52,91,91,91,,,,74,193,,
1,141.1,91,,,,,108,,,74,193,,
1,141.2,91,,,,,108,,,74,193,,
0,142,25,51,93,93,93,,,1,74,193,,
1,142.1,93,126,,,,179,,1,74,193,,
1,142.2,93,126,168,168,168,,,1,74,193,,
2,142.21,168,,,,,,,1,74,193,,
2,142.22,168,,,,,,,1,74,193,,
0,143,33,65,113,113,113,,,1,74,193,,
1,143.1,113,148,,,,179,,1,74,193,,
1,143.2,113,140,,,,,,1,74,193,,
0,144,7,37,85,85,85,,,,74,193,,
1,144.1,85,,,,,95,,,74,193,,
1,144.2,85,,,,,95,,,74,193,,
0,145,31,57,93,93,93,,,0.5,74,193,,
1,145.1,93,127,,,,152,,,74,193,,
1,145.2,93,127,,,,178,,1,74,193,,
0,146,17,50,85,85,85,,,5,74,193,,
1,146.1,85,110,165,165,165,,,0.5,74,193,,
1,146.2,85,115,,,,160,,,74,193,,
2,146.11,165,,,,,172,,,74,193,,
2,146.12,165,,,,,174,,1,74,193,,
0,147,19,66,108,108,108,,,1,74,193,,
1,147.1,108,143,188,188,188,,,1,74,193,,
1,147.2,108,153,,,,,,1,74,193,,
2,147.11,188,,,,,,,1,74,193,,
2,147.12,188,,,,,,,1,74,193,,
0,171,19,50,91,91,91,,,,74,193,28.8 m,12
1,171.1,91,,,,,112,,,74,193,,
1,171.2,91,,,,,106,,,74,193,,
0,172,33,61,103,103,103,,,,74,193,,
1,172.1,103,,,,,105,,,74,193,,
1,172.2,103,,,,,105,,,74,193,,
0,173,33,61,114,114,114,,,,74,193,,
1,173.1,114,,,,,115,,,74,193,,
1,173.2,114,,,,,115,,,74,193,,
0,174,40,67,117,117,117,,,,74,193,,
1,174.1,117,,,,,131,,,74,193,,
1,174.2,117,,,,,131,,,74,193,,
0,175,40,66,107,107,107,,,,74,193,,
1,175.1,107,,,,,122,,,74,193,,
1,175.2,107,,,,,126,,,74,193,,
0,176,31,61,104,104,104,,,,74,193,,
1,176.1,104,122,,,,127,,,74,193,,
1,176.2,104,,,,,127,,,74,193,,
0,177,41,57,,,,88,,,74,193,,
0,178,29,57,101,101,101,,,,74,193,,
1,178.1,101,125,,,,126,,,74,193,,
1,178.2,101,126,,,,127,,,74,193,,
0,179,41,60,,,,93,,,74,193,,
0,180,43,70,112,112,112,,,0.5,74,193,,
1,180.1,112,152,,,,155,,,74,193,,
1,180.2,112,158,,,,,,1,74,193,,
0,181,,52,92,92,92,,,,74,193,,
1,181.1,92,,,,,99,,,74,193,,
1,181.2,92,,,,,99,,,74,193,,
0,182,29,56,91,91,91,,,,74,193,,
1,182.1,91,115,,,,132,,,74,193,,
1,182.2,91,123,,,,136,,,74,193,,
0,183,31,57,101,101,101,,,,74,193,,
1,183.1,101,129,,,,143,,,74,193,,
1,183.2,101,132,,,,134,,,74,193,,
0,184,24,48,100,100,100,,,1,74,193,,
1,184.1,100,132,,,,,,1,74,193,,
1,184.2,100,132,,,,,,1,74,193,,
0,185,29,52,94,94,94,,,0.5,74,193,,
1,185.1,94,118,,,,138,,,74,193,,
1,185.2,94,119,172,172,172,,,1,74,193,,
2,185.21,172,,,,,,,1,74,193,,
2,185.22,172,,,,,,,1,74,193,,
0,186,40,66,106,106,106,,,,74,193,,
1,186.1,106,120,,,,122,,,74,193,,
1,186.2,106,125,,,,126,,,74,193,,
0,187,29,51,83,83,83,,,,74,193,,
1,187.1,83,135,,,,156,,,74,193,,
1,187.2,83,135,,,,,,,74,193,,
0,188,13,32,76,76,76,,,,74,193,,
1,188.1,76,108,,,,118,,,74,193,,
1,188.2,76,109,,,,136,,,74,193,,
0,190,25,52,89,89,89,,,1,74,193,,
1,190.1,89,123,169,169,169,,,1,74,193,,
1,190.2,89,123,176,176,176,,,1,74,193,,
2,190.21,176,,,,,,,1,74,193,,
2,190.22,176,,,,,,,1,74,193,,
2,190.11,169,,,,,,,1,74,193,,
2,190.12,169,,,,,,,1,74,193,,
0,191,,57,97,97,97,,,,74,193,,
1,191.1,97,,,,,99,,,74,193,,
1,191.2,97,,,,,112,,,74,193,,
0,192,30,59,97,97,97,,,,74,193,,
1,192.1,97,,,,,114,,,74,193,,
1,192.2,97,,,,,115,,,74,193,,
0,225,42,65,121,121,121,,,5,74,193,28.8 m,13
1,225.1,121,,,,,,155,5,74,193,,
1,225.2,121,,,,,,,1,74,193,,
0,226,34,69,108,108,108,,,5,74,193,,
1,226.1,108,,,,,,146,5,74,193,,
1,226.2,108,,,,,,146,5,74,193,,
0,227,20,46,90,90,90,,,,74,193,,
1,227.1,90,113,,,,169,,,74,193,,
1,227.2,90,113,161,161,161,,,,74,193,,
2,227.21,161,,,,,169,,,74,193,,
2,227.22,161,,,,,169,,,74,193,,
0,228,24,42,84,84,84,,,,74,193,,
1,228.1,84,,,,,104,,,74,193,,
1,228.2,84,,,,,104,,,74,193,,
0,229,23,50,90,90,90,,,0.5,74,193,,
1,229.1,90,111,,,,147,,,74,193,,
1,229.2,90,111,175,175,175,,,1,74,193,,
2,229.21,175,,,,,,,1,74,193,,
2,229.22,175,,,,,,,1,74,193,,
0,230,11,39,75,75,75,,,,74,193,,
1,230.1,75,,,,,103,,,74,193,,
1,230.2,75,,,,,99,,,74,193,,
0,231,16,45,90,90,90,,,,74,193,,
1,231.1,90,,,,,92,,,74,193,,
1,231.2,90,,,,,92,,,74,193,,
0,232,,34,87,87,87,,,,74,193,,
1,232.1,87,,,,,103,,,74,193,,
1,232.2,87,,,,,103,,,74,193,,
0,233,,35,83,83,83,,,0.5,74,193,,
1,233.1,83,,,,,98,,,74,193,,
1,233.2,83,112,161,161,161,,,1,74,193,,
2,233.21,161,,,,,180,,1,74,193,,
2,233.22,161,,,,,180,,1,74,193,,
0,234,,34,87,87,87,,,,74,193,,
1,234.1,87,,,,,98,,,74,193,,
1,234.2,87,,,,,98,,,74,193,,
0,235,25,53,88,88,88,,,,74,193,,
1,235.1,88,117,,,,127,,,74,193,,
1,235.2,88,118,155,155,155,,,1,74,193,,
2,235.21,155,192,,,,,,1,74,193,,
2,235.22,155,,,,,,,1,74,193,,
0,236,46,73,,,,142,,,74,193,,
0,237,46,73,112,112,112,,,,74,193,,
1,237.1,112,139,,,,143,,,74,193,,
1,237.2,112,141,180,180,180,,,1,74,193,,
2,237.21,180,,,,,,,1,74,193,,
2,237.22,180,,,,,,,1,74,193,,
0,238,16,50,80,80,80,,,,74,193,,
1,238.1,80,111,,,,127,,,74,193,,
1,238.2,80,113,,,,126,,,74,193,,
0,239,,48,90,90,90,,,,74,193,,
1,239.1,90,,,,,147,,,74,193,,
1,239.2,90,,,,,147,,,74,193,,
0,240,,59,105,105,105,,,,74,193,,
1,240.1,105,,,,,138,,,74,193,,
1,240.2,105,,,,,138,,,74,193,,
0,241,,27,,,,106,,,74,193,,
0,242,,45,96,96,96,,,,74,193,,
1,242.1,96,,,,,100,,,74,193,,
1,242.2,96,,,,,122,,,74,193,,
0,243,,14,,,,87,,,74,193,,
0,245,,45,85,85,85,,,,74,193,,
1,245.1,85,108,,,,134,,,74,193,,
1,245.2,85,,,,,143,,,74,193,,
0,246,15,44,89,89,89,,,,74,193,,
1,246.1,89,,,,,98,,,74,193,,
1,246.2,89,,,,,99,,,74,193,,
0,265,32,55,,,,104,,,74,193,28.8 m,14
0,266,27,55,100,100,100,,,,74,193,,
1,266.1,100,,,,,103,,,74,193,,
1,266.2,100,,,,,103,,,74,193,,
0,267,16,35,,,,95,,,74,193,,
0,268,24,40,,,,121,,,74,193,,
0,270,20,42,85,85,85,,,,74,193,,
1,270.1,85,109,,,,116,,,74,193,,
1,270.2,85,109,,,,118,,,74,193,,
0,271,,62,97,97,97,,,,74,193,,
1,271.1,97,,,,,101,,,74,193,,
1,271.2,97,,,,,101,,,74,193,,
0,272,22,43,,,,135,,,74,193,,
0,273,,49,,,,135,,,74,193,,
0,274,9,30,88,88,88,,,1,74,193,,
1,274.1,88,110,157,157,157,,,1,74,193,,
1,274.2,88,112,153,153,153,,,1,74,193,,
2,274.21,153,174,,,,,,1,74,193,,
2,274.22,153,182,,,,,,1,74,193,,
2,274.11,157,,,,,,,1,74,193,,
2,274.12,157,,,,,,,1,74,193,,
0,275,,58,,,,101,,,74,193,,
0,276,,40,77,77,77,,,0.5,74,193,,
1,276.1,77,101,,,,133,,,74,193,,
1,276.2,77,101,143,143,143,,,1,74,193,,
2,276.21,143,,,,,174,,1,74,193,,
2,276.22,143,,,,,174,,1,74,193,,
0,277,24,45,81,81,81,,,1,74,193,,
1,277.1,81,108,148,148,148,,,1,74,193,,
1,277.2,81,121,152,152,152,,,1,74,193,,
2,277.11,148,174,,,,,,1,74,193,,
2,277.12,148,184,,,,,,1,74,193,,
2,277.21,152,,,,,174,,1,74,193,,
2,277.22,152,,,,,174,,1,74,193,,
0,278,35,69,112,112,112,,,,74,193,,
1,278.1,112,,,,,129,,,74,193,,
1,278.2,112,,,,,132,,,74,193,,
0,279,35,68,114,114,114,,,,74,193,,
1,279.1,114,,,,,137,,,74,193,,
1,279.2,114,,,,,140,,,74,193,,
0,280,39,56,109,109,109,,,,74,193,,
1,280.1,109,,,,,126,,,74,193,,
1,280.2,109,,,,,126,,,74,193,,
0,281,,39,78,78,78,,,,74,193,,
1,281.1,78,101,,,,132,,,74,193,,
1,281.2,78,101,143,143,143,,,,74,193,,
2,281.21,143,,,,,170,,,74,193,,
2,281.22,143,,,,,170,,,74,193,,
0,282,23,49,95,95,95,,,1,74,193,,
1,282.1,95,121,177,177,177,,,1,74,193,,
1,282.2,95,128,175,175,175,,,1,74,193,,
2,282.11,177,,,,,,,1,74,193,,
2,282.12,177,,,,,,,1,74,193,,
2,282.21,175,,,,,,,1,74,193,,
2,282.22,175,,,,,,,1,74,193,,
0,283,14,35,83,83,83,,,1,74,193,,
1,283.1,83,125,183,183,183,,,1,74,193,,
1,283.2,83,131,180,180,180,,,1,74,193,,
2,283.21,180,,,,,,,1,74,193,,
2,283.22,180,,,,,,,1,74,193,,
2,283.11,183,,,,,,,1,74,193,,
2,283.12,183,,,,,,,1,74,193,,
0,284,,54,90,90,90,,,,74,193,,
1,284.1,90,,,,,103,,,74,193,,
1,284.2,90,,,,,106,,,74,193,,
0,285,20,45,83,83,83,,,5,74,193,,
1,285.1,83,105,,,,107,,,74,193,,
1,285.2,83,107,,,,,137,5,74,193,,
0,326,3,33,83,83,83,,,0.5,74,193,28.8 m,15
1,326.1,83,,,,,99,,,74,193,,
1,326.2,83,106,170,170,170,,,1,74,193,,
2,326.21,170,,,,,180,,1,74,193,,
2,326.22,170,,,,,,,1,74,193,,
0,327,27,70,111,111,111,,,,74,193,,
1,327.1,111,,,,,116,,,74,193,,
1,327.2,111,,,,,116,,,74,193,,
